City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Sovetskiy,RU,61.3614,63.5842,27.52,96,4,2.77,clear sky
204,Regina,CA,50.4501,-104.6178,60.8,20,20,14.97,few clouds
205,Maumere,ID,-8.6199,122.2111,78.49,83,52,6.08,broken clouds
206,Sawtell,AU,-30.3833,153.1,69.8,94,90,8.05,light rain
207,Hualmay,PE,-11.0964,-77.6139,73.9,74,94,10.18,overcast clouds
208,Ulaanbaatar,MN,47.9077,106.8832,21.2,79,0,2.24,clear sky
209,Alofi,NU,-19.0595,-169.9187,80.6,89,75,4.61,broken clouds
210,Aksu,CN,41.1231,80.2644,52.56,40,98,8.19,overcast clouds
211,Kyshtovka,RU,56.555,76.6271,30.67,92,99,12.68,overcast clouds
212,Neyshabur,IR,36.2133,58.7958,58.33,28,17,3.83,few clouds
213,Newport,GB,51.5877,-2.9984,39.99,78,49,13.18,scattered clouds
214,Vila Velha,BR,-20.3297,-40.2925,82.0,73,20,9.22,few clouds
215,Bathsheba,BB,13.2167,-59.5167,84.2,58,40,16.11,scattered clouds
216,Nabagram,IN,22.2881,88.5092,78.8,89,0,5.75,haze
217,Ozinki,RU,51.1786,49.6769,37.6,92,100,7.94,overcast clouds
218,Ostrovnoy,RU,68.0531,39.5131,31.19,86,100,17.16,overcast clouds
219,College,US,64.8569,-147.8028,10.99,72,20,1.74,few clouds
220,Pangnirtung,CA,66.1451,-65.7125,8.6,78,20,4.61,few clouds
221,Amapa,BR,1.0,-52.0,75.76,97,100,2.37,moderate rain
222,Touros,BR,-5.1989,-35.4608,82.4,69,20,12.66,few clouds
223,Aguimes,ES,27.9054,-15.4461,66.2,68,20,5.75,few clouds
224,Maltahohe,NA,-24.8333,16.9833,68.86,14,0,10.74,clear sky
225,Jatai,BR,-17.8814,-51.7144,71.96,86,92,3.78,overcast clouds
226,Khatanga,RU,71.9667,102.5,-10.07,100,99,7.0,overcast clouds
227,Devonport,AU,-41.1667,146.35,53.01,92,84,3.0,broken clouds
228,Wucheng,CN,29.6008,118.175,58.35,83,100,2.93,overcast clouds
229,Georgetown,MY,5.4112,100.3354,77.0,94,20,4.97,few clouds
230,Havoysund,NO,70.9963,24.6622,33.8,86,75,21.85,light snow
231,Asau,RO,46.4333,26.4,42.01,51,100,0.4,light rain
232,Constitucion,CL,-35.3333,-72.4167,62.74,70,96,6.33,overcast clouds
233,Roald,NO,62.5833,6.1333,39.2,75,75,14.97,broken clouds
234,Pyapon,MM,16.2833,95.6833,76.89,85,7,3.29,clear sky
235,Palmas Bellas,PA,9.2319,-80.0867,86.0,75,89,5.01,overcast clouds
236,Villa De Reyes,MX,21.8,-100.9333,78.8,17,90,6.91,overcast clouds
237,Areia Branca,BR,-4.9561,-37.1369,83.61,70,35,18.07,scattered clouds
238,Saposoa,PE,-6.934,-76.7716,89.6,58,40,5.75,scattered clouds
239,Kinablangan,PH,7.6947,126.5503,76.73,84,100,6.96,overcast clouds
240,Laguna,US,38.421,-121.4238,72.0,43,1,3.02,clear sky
241,Yining,CN,29.0361,114.5636,58.05,98,100,2.44,overcast clouds
242,La Ligua,CL,-32.4524,-71.2311,69.8,49,0,13.8,clear sky
243,Hobart,AU,-42.8794,147.3294,53.6,87,20,5.75,few clouds
244,Tangshan,CN,39.6333,118.1833,51.33,45,0,4.92,clear sky
245,San Francisco,US,37.7749,-122.4194,61.0,55,20,14.97,few clouds
246,Wahiawa,US,21.5028,-158.0236,77.0,56,20,12.66,few clouds
247,Lorengau,PG,-2.0226,147.2712,81.72,76,87,7.45,overcast clouds
248,Wattegama,LK,6.7989,81.4808,72.97,92,18,2.68,few clouds
249,Vao,NC,-22.6667,167.4833,75.61,65,90,15.41,overcast clouds
250,Udachnyy,RU,66.4167,112.4,17.96,95,100,5.14,light snow
251,Neftcala,AZ,39.3742,49.2472,49.93,68,25,7.87,scattered clouds
252,Selenginsk,RU,52.0064,106.8647,24.8,80,56,2.24,broken clouds
253,Becerril,CO,9.7041,-73.2793,88.79,58,100,3.51,overcast clouds
254,Tiksi,RU,71.6872,128.8694,-13.2,99,44,6.24,scattered clouds
